RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2526.000184504253,2541.063763514285,2559.457724455509,2584.962511414059,2606.5870281082507,2629.6311751997946,2642.37166721379,2653.1526057019432,2658.1217637218538,2655.9364850338748,2643.3913563913907,2627.1367501236623,2619.1514083594584,2620.9366033482306,2630.787650769801,2645.3378743301387,2662.587476501241,2680.7879887218237,2694.286505997256,2700.1747419631943,2698.4105715052674,2688.3948616884845,2673.9565410163614,2650.7167089504974,2645.519208253293,2644.804353471009,2661.319555766781,2673.948197176479,2695.663863447777,2715.3338005470546,2727.9041011807035,2732.213151332177,2724.1495377774904,2704.573520757013,2680.0324110732863,2661.4459083842335,2658.521949708708,2667.0119124406187,2684.3904030686285,2706.996480017923,2729.792114505692,2751.203618980886,2766.4338237266575,2776.5194202184052,2777.362138691174,2765.417299958816,2747.588618393009,2732.2898856563374,2728.4340428319047,2737.5604547403436,2754.4249343869965,2777.7292274951433,2803.965413108619,2830.3540741747074,2849.602236720426,2861.87810240099,2863.4937412549384,2858.2741290980493,2840.1376287906705,2828.111542143759,2825.115233238675,2844.1020640610477,2858.0751596293308,2848.125834488931,2819.4474631359994,2780.2223565236663,2741.269447011694,,,2540.980323610561,2494.7503010064656,2469.889065418956,2459.6484762673363,2472.5981092157454,2500.6345559199613,2542.717560634032,2599.8565302718166,2671.6013717185892,2752.689959617355,2827.752453470722,2890.293250235619,2924.9902347115,2951.6376001436015,2967.649988516705,2996.2166004964674,3032.734742622728,3078.0177524709798,3127.638240201871,3187.62912103262,3252.5147710945885,3306.5320360237365,3338.0357045848236,3340.9850565312845,3320.5436321521142,3277.452502296613,3246.1031422506185,3237.5514766355095,3250.564791314389,3272.4056883206845,3306.740626904546,3350.816287916397,3395.1160625507237,3425.566997629054,3435.643300153529,3432.3346780436436,3409.1177864370284,3372.298891628945,3342.309206647021,3336.660279755968
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1850.9404307632337,1866.026504065127,1881.9982678370461,1896.0739664718624,1918.3930073137144,1928.2178302803013,1942.496081486721,1952.4672489688917,1969.052366928027,1980.1667369195684,1984.1941247866002,1990.4264981107447,2003.420345809295,2023.95813913361,2040.4984506529747,2047.8822543425101,2063.4253538894145,2080.8893552154523,2093.181965078886,2090.705355506971,2085.851058309824,2087.451814185957,2086.496406724714,2087.294770535031,2108.512490500425,2129.2894119954467,2162.475644823869,2171.171132355629,2187.3649690679285,2195.614927059889,2208.9149352494687,2218.911151850595,2220.5519446612966,2225.1166278603655,2228.311588933425,2236.8283089710185,2245.3778519297603,2260.352968079105,2268.5487252030575,2279.10195799047,2286.732632753807,2303.7452342608453,2317.3800145545833,2331.2825929812175,2338.200003213035,2339.7621396674476,2340.221341684496,2343.720664120079,2350.4883214904457,2353.3375250264517,2365.3226448206788,2376.242159984606,2390.6305238398218,2402.6377340976737,2413.478487582389,2421.835712896461,2423.9604866444693,2422.896690356522,2420.1459759753,2421.5468369440287,2425.2390555751444,2430.8744923530567,2428.588505095795,2416.850622417416,2401.9425353305255,2391.350692204658,2387.07018082225,2381.481176436098,2370.3334764195174,2360.2616170923284,2354.303149150975,2349.65693495614,2348.261466992619,2346.5055691270145,2354.949525668305,2364.927838827551,2386.68683164119,2417.6705783237726,2460.8561103627153,2508.589864316643,2546.0215858799497,2571.3216824404712,2587.686784205633,2606.283037889651,2627.2127123226446,2647.094552356552,2666.9078002834444,2689.9088278048102,2719.321739707253,2743.1138389705966,2766.8837731319795,2781.8144202276367,2793.6671014616827,2787.8636038381896,2780.557781957541,2772.7098106746816,2769.1029232279825,2774.885668211379,2784.654294753732,2799.2456692094393,2802.5968590582374,2806.1548505401665,2809.2630853750825,2816.2828985615765,2816.8541331326132,2809.7868291140885,2793.6856868373,2779.3850705562795,2782.873417424032
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1206.0028780585608,1209.4395732670032,1215.4501106189898,1226.6126602664563,1237.2697340960167,1247.4028611610972,1247.8575312610265,1248.42467364308,1242.0451404584194,1238.8215655604408,1236.6928833019765,1237.1069389434565,1237.7074308485855,1237.4020057490577,1242.8676910378315,1249.3233266380817,1253.9299909159545,1254.3768845902175,1252.3264999360815,1248.0073824602246,1239.9437876120048,1227.6881100977498,1216.0241983004846,1209.5053247197764,1219.6939620085652,1234.4479859040655,1249.8632144078174,1252.500236371623,1260.2480335117664,1260.240621324267,1260.1798533911806,1254.2202601368156,1261.2123354046971,1270.761235806019,1284.1124949461093,1295.609259187525,1297.7477793415126,1304.1295658651893,1301.0266928558055,1309.5670480836595,1310.416084717463,1316.5334817458925,1315.7015272251351,1313.6639677160736,1309.2293116940116,1307.8931497048084,1310.519830129254,1311.1649502068806,1312.900943897593,1310.0151106049532,1314.7309936705942,1319.3658337676545,1328.6942740721454,1336.1405902227523,1339.4775290540479,1339.8786219835051,1335.5497307498304,1334.7192881505398,1333.2708433119965,1337.643879696932,1340.0423361427368,1346.9115231677567,1352.576038422836,1348.5285254686505,1340.5754874907136,1330.8023528569643,1333.2451688545502,1335.3951269732675,1334.803738888663,1335.6756453504377,1337.896109021323,1336.3533807631718,1334.4998250091132,1328.8009778739292,1335.0467451843535,1347.0648200787414,1370.3362786834914,1398.7775659806198,1424.964125032544,1446.6690935941433,1459.0422879723687,1465.6059156600716,1469.4585798041342,1470.7809383657861,1477.806845195684,1486.5777627510854,1497.3616959220108,1508.10787823411,1520.0200953433,1534.2819039664523,1543.8286564155646,1548.990870048639,1546.7626608827568,1542.567356412035,1539.2460805613828,1537.5787123511968,1542.1121152105018,1549.8193211815017,1558.8554165660546,1564.8540400707202,1573.2409028338498,1582.4413140109527,1589.8539013859713,1588.5571922420709,1585.9968254220291,1581.6849666950814,1580.0381247499083,1580.4577222735695,1582.091499141221
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1501.763349181545,1511.4320758560264,1522.5259356816202,1533.507524059768,1547.82553894023,1559.172548658702,1565.7242403548923,1568.0214189110254,1561.6419636118574,1552.3187716996936,1542.397658007162,1540.8908664471808,1552.7190710304392,1565.3222747924463,1580.358228686575,1588.193454157458,1598.8476513580242,1610.7006818041607,1619.2886661930224,1623.6259578249146,1613.9796302238822,1595.9723987724824,1573.8250729474425,1561.360164839853,1572.7364946066764,1595.0567336050444,1620.5295450030933,1632.8426891649503,1644.6183891476003,1650.7334672510895,1652.7580760254111,1645.8780284239017,1635.47467570528,1621.8215262275266,1611.864722607895,1610.8797244214513,1619.4846637440726,1634.045698128584,1647.158323906869,1660.3593006718165,1671.7379381526937,1682.375644896734,1686.2096769655914,1681.5034736435227,1666.4804629238693,1651.6658078484259,1642.9958446659955,1644.7951784857514,1656.2862045884544,1669.5763292164547,1687.5712806031963,1701.9652704052658,1714.6214300263891,1723.14801344616,1727.420995972398,1729.675382949728,1722.8895613695959,1712.9692362207313,1701.4510021358992,1696.8273667726141,1707.0146610184365,1722.3748158157096,1737.8709927581697,1737.9062143783108,1734.6359413856715,1729.58975677503,1726.1260994681898,1713.4872468109293,1689.8690937958138,1656.9012309763323,1630.4441716674494,1616.2952248466188,1614.5790141603195,1625.5999304054724,1649.6607826166337,1683.9303997465004,1717.3825146878103,1744.141672538475,1761.9304147742698,1772.7746508069274,1773.9381090035354,1772.0102755270818,1768.1362261008173,1775.0100202982983,1791.7822974246772,1814.4321685446378,1839.997590350724,1864.4248380726694,1890.6264300631992,1910.319057861059,1927.1526976021753,1932.4953484357347,1931.7432035068675,1926.6875513484842,1919.8077841541228,1918.3135866734074,1926.2071064055422,1940.5014750410849,1960.2983148761675,1979.2032543509217,2005.9400747421132,2028.186294271854,2040.4761436157644,2044.220716277643,2034.2614741373443,2018.4681126387418,2002.9285202890362,2004.3251403094926,2017.6710099918262
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,964.6956608913225,968.3933221623888,975.3127088216486,983.8212997448285,992.4338021648972,999.7654564336848,1000.8382133309686,999.2594445407871,998.8330051873337,1002.9963717982995,1005.326745612822,1005.6586381372475,1006.3561222417088,1009.8924312472454,1017.1024244715977,1025.1905777501318,1031.337567408182,1034.0584350840718,1035.9229182737297,1038.4383386264183,1038.3669359351024,1034.4288949830911,1031.9371793945124,1032.3554307634754,1040.50819962523,1047.325391234455,1055.6205373959085,1060.2621387127067,1065.8581672581283,1073.3512501708633,1076.581602350087,1076.0213759781127,1071.8825711358186,1068.4302374456877,1065.6143223482075,1065.6055457362343,1066.3960756674162,1070.1235257174098,1075.4022608038947,1081.5325112528799,1088.3169209578493,1094.42049460148,1101.3771182431406,1106.7535534271724,1107.2834800297667,1107.2805329695552,1105.2990312555307,1103.8418647815586,1104.1243338265479,1107.9349987473875,1115.1308378963915,1121.5592010813416,1127.0264652916553,1131.7481619349876,1138.1588509926041,1147.6704540142082,1151.9193418707712,1150.372601428834,1140.9942785621522,1138.4561132678998,1138.2835688804064,1143.7564015299333,1146.7940002655876,1147.8312483215548,1146.5039158759296,1147.35429911266,1153.1148215059227,1159.6151626114643,1163.4117250673573,1164.5455851655597,1164.9170367657405,1166.8081356564899,1166.4842351575455,1169.1762397084424,1175.001092749198,1190.2917376972484,1208.0407325851024,1229.4576783665545,1253.780369195788,1279.6656217771178,1300.6087568219575,1311.4821966467234,1316.2204693426365,1322.2458603798616,1327.5935383098874,1335.9404185132908,1346.7369814479762,1359.9715260198716,1376.524120187398,1386.7591127805374,1400.5378476218918,1402.1881722974902,1401.0136264391676,1389.7704279804675,1383.5542817421444,1381.3880077232193,1388.0082354903043,1391.8735120175938,1400.5125672472423,1403.1156318156154,1407.1173165908192,1405.3661996848139,1406.302657033617,1405.9079107927382,1402.6295967778904,1394.6747117451675,1388.0484836947771,1383.1552783195923,1380.1477927076246
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1207.2784221940399,1215.927952349907,1235.515011773722,1243.005943380259,1252.6978441867864,1253.69801588897,1257.3046972985012,1254.1373910912878,1250.8846582544204,1249.8706304277446,1245.214749519112,1241.8758683181102,1239.4128705529572,1253.2928905747212,1267.970597660213,1283.0029341662887,1289.9819394210388,1293.9616792537831,1293.3188886070564,1292.634396422162,1287.4601478984948,1280.0019182203903,1282.1131702840066,1283.1784779948932,1292.3342262479548,1296.4377021043929,1311.0915749123196,1319.7950962452246,1324.839289203623,1324.784428373536,1325.8747627216094,1325.889406157736,1325.383860871329,1322.2244754031203,1321.2569114297066,1322.927830241661,1326.8837556872868,1335.7326432236107,1348.1423316228113,1358.550654685372,1366.7449336979898,1369.018480282182,1367.7199412719133,1366.0951558847416,1365.1587913836408,1369.629866452525,1374.3580575997553,1372.2855194025715,1376.1633710673968,1382.0832788591192,1397.9838978205917,1406.2929107533944,1412.514608963803,1418.589383340713,1423.2183782721088,1423.8731198160895,1420.6805944733796,1420.5282734178184,1420.2573367824884,1423.1379406686292,1426.0203297776875,1433.5516101146598,1441.2303239471855,1443.8357203357218,1443.3951192130642,1443.6673735668896,1446.2181260246878,1442.6571838663604,1436.9869674483,1433.3575063252918,1433.6964716889252,1432.525724696551,1432.3449963516402,1436.549331374716,1446.6467641174827,1462.5182407415437,1480.630625099295,1496.1870902612438,1509.1299225444761,1521.1159868756781,1530.9733905392904,1538.8917280784756,1546.3462608684906,1557.2703212613667,1567.085376766674,1574.5791854739139,1582.93930741723,1595.8153274515091,1610.9652087057357,1623.6270660266373,1629.840632390379,1631.8212076077227,1634.303620347153,1628.7641825954931,1627.9719483082624,1621.5559906384071,1626.9619639027915,1630.495170050187,1639.389662249568,1648.194240052588,1656.1500441193768,1659.1916232798524,1661.6716033193686,1664.063816146177,1670.337746329781,1676.7914030261313,1679.9381891207984,1676.900090855533,1679.5377886772092
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,872.9202270386554,884.053554780948,891.7558147613427,904.867138302714,908.9591007106943,916.6206860876773,915.3693090570974,918.2804352781984,922.1446026159726,925.0342199879614,927.9732962953425,926.9859167937427,934.1228661162485,939.0161121361793,949.2336250988225,958.3907510040324,969.9690220222294,977.1309294397493,976.9209343561802,974.8566732214164,975.8065880764625,976.6783218474285,978.6851242475069,977.9355436835169,983.0070555677136,990.8034560907282,1002.9852819632288,1016.4743899051203,1029.3198575577567,1037.234527473497,1040.4565010723036,1041.1418323684322,1042.310161753572,1047.1110954598244,1048.3877983504444,1049.7389037361067,1051.0444892765304,1058.7894134028918,1071.087330348429,1083.2069742433541,1095.1976733933857,1103.9028161346005,1112.9930721004346,1118.4488692669916,1125.7382555978015,1131.0320184977677,1135.99144067175,1141.0978683042622,1144.0058157363005,1153.350071809623,1162.0707727624297,1176.148606801003,1187.3804840419696,1199.5260723490214,1207.8555981672748,1213.8340729892,1218.2956885002484,1220.9531014765594,1227.2161943815413,1235.3134935416156,1244.2830699081655,1251.6621227971507,1256.8879373622483,1259.5127517415133,1260.8298884045014,1264.7668886997128,1274.9230979443835,1294.0218039271188,1306.543418095565,1317.542109870387,1321.6485049247226,1331.0568385071056,1340.521742511375,1352.120431255509,1373.1676558431168,1405.4641991569652,1449.2015256501752,1494.4261574292339,,1581.6231949111395,1614.6802057805808,1635.1202474092036,1648.1966812432481,1657.2306489237803,1668.372664853592,1679.4047892259307,1693.7094775160497,1706.8350214165166,1717.0520778109767,1727.2020921244923,1734.6481646441696,1734.9145871064336,1728.7114802215542,1720.4595323571355,1714.3681047945797,1709.5144482451926,1701.7315915516385,1701.9686331333266,1711.4245002225023,1724.7610321978839,1735.7755637803953,1736.2148847999551,1738.7808651785167,1734.3741403145407,1734.6316624805522,1730.595446784771,1720.7541777228398,1709.1586226979693,1703.8979411903974
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,981.2686362005145,985.9599726245418,990.5792626362905,998.2647207502521,1005.065711274188,1012.0150926917541,1016.7649818216738,1020.245082202401,1023.4911256099936,1022.5716731779388,1022.6698488141968,1021.8690749087694,1024.914392133115,1028.5735019838885,1033.2962199357441,1040.4014940046302,1049.5835130187254,1061.339489480833,1066.55886072872,1068.3858500179924,1067.700105293185,1068.106007840965,1068.0432257195803,1067.0031291796263,1072.557386280567,1080.2482662602383,1090.71627370261,1097.5878842460793,1104.038775590158,1112.0755002562466,1119.6666229694858,1126.187704491308,1129.447313848108,1130.6798300412079,1133.4118122131965,1137.0796281544683,1140.863440513929,1148.7277996166977,1158.4113765480563,1173.19996333159,1184.1666725618556,1192.5693984213697,1200.2667456938732,1206.6009208644566,1212.670959717667,1214.590006285036,1216.8188171243055,1218.482143387137,1223.4976124277882,1228.7369913411067,1240.6472608247498,1251.1804644719741,1262.8910430845795,1270.0335687234133,1277.4443059649727,1282.8613059242339,1284.7781442498476,1284.9928056709375,1284.411289083042,1282.1761553029,1282.5910593116748,1289.7603837358688,1299.0839578323819,1295.1914812121715,1290.0738645961983,1289.5225222358445,1306.3653021184068,1322.16078212155,1340.1363421540996,1353.3557561931857,1362.9335210378285,1368.3565673606042,1377.374464405034,1392.0436856393837,1410.053441426484,1433.9552918816623,1473.05089834154,1525.5421361005108,1577.479807743718,1627.0603379389975,1661.6397732239857,1687.2172444076316,1691.0681750975311,1692.9191699341222,1697.6470580971784,1707.1503533895452,1717.2023275370034,1727.003156815572,1741.5055036365488,1756.6246883075437,1770.7036068754737,1762.604304689013,1749.0131013286925,1720.785323967827,1704.057181253937,1686.6164405877385,1685.004721053656,1688.6307819325332,1700.4438389840316,1709.3045131320841,1720.294245150493,1727.4888611672995,1733.1879033527791,1731.9537641386225,1727.0140662162469,1728.655401140036,1726.2064429052155,1723.1449682769073,1717.2563057824673
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1725.787465157281,1737.1983547103102,1747.754326146477,1749.3187281159203,1762.5930431979677,1770.088827194612,1789.58059726476,1802.6633140066906,1813.4945634217652,1818.8966485228639,1818.7867783832949,1823.7960736756236,1829.5809645472384,1838.337620644101,1850.6031389361267,1857.9341168607814,1870.808608361587,1885.9406333493043,1900.4722008393474,1904.5410365954563,1903.7941361540427,1909.1407929613724,1913.5776676553123,1915.875219250749,1920.8306059244094,1937.5793995258061,1957.1508333820557,1973.9891589642662,1989.5565118889554,2003.485739721741,2020.180743603329,2026.5481624717438,2029.5155206029528,2026.3229889208098,2027.744084889136,2029.450451851004,2038.6628397842528,2051.547667798974,2066.7170618079426,2079.5329248753687,2095.020935149231,2105.5359134462897,2118.206971652044,2128.8255112163965,2137.4874693924335,2138.3764405744255,2128.9182831543444,2134.3621362372487,2137.837527719371,2146.6805517886146,2150.0227963540297,2161.1245791097476,2172.7125025108944,2185.125122483713,2197.7966591639442,2210.9702910375677,2213.6501121300753,2212.3061397595184,2208.555958658131,2216.269296354567,2220.522858652289,2228.7761779844204,2229.1316221335683,2218.29672960055,2207.822307060056,2200.951057975251,2212.3640470686123,2219.523349923107,2229.667566622734,2242.6470521985607,2258.7038805001707,2266.7302611028585,2275.8482327458264,2283.6927939242605,2306.922886244254,2339.328997455072,2379.94907784916,2426.609798201776,2478.4260593462486,2536.934301915451,2594.659308070156,2632.4780020000067,2657.0863398296165,2671.2049067668586,2683.069367594369,2711.5638787612834,2746.7620242473554,2798.4784327064567,2842.9574509126955,2888.2127301182963,2924.48636609161,2957.2370440498235,2966.5857817364185,2959.142486053419,2934.5194476531556,2912.389258361384,2906.9861798220513,2913.289804691788,2941.458005538386,2970.6001402050515,3010.3623499110413,3038.312381443387,3060.73570829168,3063.3342575553015,3058.9790160021544,3043.7396083673757,3022.6167984615963,2998.986278019196,2982.807962433066
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1086.488988391436,1090.4390236472368,1099.7131750306264,1108.6256585268436,1125.0726075565112,1136.0644875617568,1147.362945675969,1148.5111621495375,1150.0168185208734,1155.0773800138893,1164.1225569746362,1170.0031438711699,1170.07513153349,1172.2735101192854,1179.948319783487,1189.76848931496,1196.6432530277305,1203.3923763628648,1208.9285671284608,1211.9144986151096,1211.709870453528,1208.0199438414036,1209.2037054807367,1210.2459524748929,1224.3341779195919,1232.9605860828701,1252.6356667315242,1261.0303580833413,1274.3379691588952,1275.623473797609,1279.8516283507051,1278.2188431572965,1278.4184719149748,1274.6494811992552,1283.095009650499,1285.6048545880149,1292.4009583273755,1300.3064512627286,1305.5040172437452,1308.3716421923573,1307.6965833306465,1319.8169766458352,1325.7056346757058,1328.9944828562766,1320.9684182139868,1324.2013903457625,1320.9408330532062,1324.3691838363022,1328.5188022247373,1336.8692847817533,1347.9785906566472,1354.9462826423176,1362.6138655657965,1374.4442339575621,1379.1833370452277,1383.5114096588864,1381.6420197482419,1378.9204564785625,1371.448507248191,1362.80507648771,1366.539422522403,1373.9378781510977,1383.0099395474072,1381.7072691101534,1378.6665800725489,1375.6754357376983,1376.0460857029593,1377.8837887696584,1381.4818169286646,1384.1935803253855,1386.7982845840422,1385.2729498478116,1380.8183044474342,1382.4809224405947,1391.6831694021055,1416.4799662312746,1446.45025220373,1479.650811244716,1511.9483835809297,1538.7166057964157,1563.471356518727,1575.085733510334,1585.457712880487,1592.7823364106594,1607.6946453448506,1625.6187313356377,1634.5925142695573,1656.9248690258644,1680.3972949456981,1721.6756955832125,1743.5060807762432,1752.447801954272,1747.1257811508906,1729.0889452368567,1717.2058779819652,1702.305198071937,1700.6148031384644,1699.6621894934933,1706.5185788536664,1717.1538705760156,1728.2963851741038,1736.7576139318003,1739.6141465917208,1741.065827519443,1739.9724171384485,1733.885850689543,1723.0340267566994,1712.9055226113123,1707.331754125007
